Value
11
5
4
7
16
6
5
7
13
6
5
7
12
5
4
6
9
5
5
11
29
21
17
20
27
13
9
10
16
6
5
7
11
5
5
6
12
7
7
10
15
10
9
11
15
10
10
16
26
21
23
36
50
45
45
49
57
43
40
44
52
43
42
45
52
41
39
41
48
35
34
35
42
34
36
43
55
48
54
65
80
70
74
85
101
89
88
90
100
87
88
89
104
89
89
90
106
96
94
99
109
99
96
102
